exercise_id,name_ptbr,drive_id,arquivo_original_drive,status
ex_170,Elevação frontal com anilha,1HXfoke5tq2fe5uK1J7Bx0-tWkrM3YT2m,FACE PULL NO CROSS.MOV,ok
ex_171,Remada alta com barra,1ynq69ZzAOOq2HcVUOM4Mdqala3F61Wmv,REMADA ALTA COM BARRA.MOV,ok
ex_172,Press militar com barra,1zXdMCx0qywFnS1zfouWAcS1Px4p0SLzl,PRESS MILITAR CO BARRA.MOV,ok
ex_173,Elevação frontal/ lateral com halteres,17OCxRtLLxbwCex_JPiqtMMf4NQ_c11d5,ELEVACAO FRONTAL:LATERAL.MOV,ok
ex_174,Flexão de braço tradicional,1DhP1javyheVn45qnYbzhF3kKW4IgnM2z,FLEXAO DE BRACO TRADICINAL.mov,ok
ex_175,Flexão de braço com pegada aberta,1nrICUnm9VI8Ue7shCtRKeW6yumf4BZD3,FLEXAO DE BRACO PEGADA ABERTA.MOV,ok
ex_176,Flexão declinada (pés elevados),1TTAMeie9jmVnFlbTUjCIZ_GnLzM9w_TH,FLEXAO DECLINADA.MOV,ok
ex_177,Supino com halteres no chão,1dTF1cTVm6Go15SpiLvMo9B7nDB4zthti,SUPINO COM HALTERES NO CHAO.MOV,ok
ex_178,Flexão com elástico de resistência,1xbxQbSHNNvJrXrhzh1C00RyGc47OIuHY,FLEXAO COM BAND.MOV,ok
ex_179,Crucifixo com halteres deitado,1Jut9-e_0Jv4kIRco0TvrBmqAxzrjTkZE,,erro: HTTP 404 (arquivo não existe mais)
ex_180,Supino reto com barra,1N2FhbaBSRhW3Vp7B6xqalXPcMqJQuzrf,SUPINO RETO COM BARRA.MOV,ok
ex_181,Supino inclinado com barra,12e6o2WbAin4bSLR2rNxpmxWz1ZIxtTpf,SUPINO INCLINADO.MOV,ok
ex_182,Crossover no cross,1BwfAZ66D9spY2RhLZDi86V7sfxrrAFj7,CROSSOVER NA POLIA.MOV,ok
ex_183,Crucifixo no peck deck,1Mqv_Lm6oDZQtUaqkfznVLCQjLBthlBgk,CRUCIFIXO NO PEC DECK.MOV,ok
ex_184,Supino declinado com barra,17EgXR_I0-CNHCoVgsqNeZzaHmYr8cdOL,SUPINO DECLINADO COM BARRA.MOV,ok
ex_185,Push-up explosivo com palmas,1VxsWgyVGGyIDJUOBPUeX5KJF5zbyXw5U,PUSH UP EXPLOSIVO COM PALMAS.MOV,ok
ex_186,Burpee com push-up,1M0-vOosM3EpvZj0DYE1V939IAwIwDDe9,BURPEE COM PUSH UP.MOV,ok
ex_187,Flexão diamante,1gj6ULMGT2oHOgU710UKIkqVJGt3kQEWi,FLEXAO DIAMANTE.MOV,ok
ex_188,Flexão isométrica (segurando embaixo),14qu54NA7uF7Qcv5e2p_GnaUjoz8WmMct,FLEXAO ISOMETRICA.MOV,ok
ex_189,Flexão com apoio de halteres,1Y_h9xxUWg78Qe0vEHKQ_WempA05IwgoG,FLEXAO COM APOIO DE HALTERES.MOV,ok
ex_190,Supino inclinado com halteres,1D4iB5s3iGjI9vMlH3bhz9QB00WHG8b9_,SUPINO INCLINADO COM HALTERES.MOV,ok
ex_191,Supino declinado com barra,17EgXR_I0-CNHCoVgsqNeZzaHmYr8cdOL,SUPINO DECLINADO COM BARRA.MOV,ok
ex_192,Cross over na polia alta,1-RRA4N02yCQHev_GdYUNtZyPUzYHrDib,CROSSOVER NA POLIA ALTA.MOV,ok
ex_193,Flexão com pés elevados e mãos sobre halteres,1NZSIe-nKC6AgXP46hjKLHIh_jIPfq3BF,FLEXAO COM PES ELEVADOS E APOIO DE HALTERES.MOV,ok
ex_194,Flexão de braço com pegada fechada,1FaGLUxpPAvmY1zKZ2RxWx5yAz8Sx9J-u,FLEXAO COM PEGADA FECHADA.MOV,ok
ex_195,Rosca direta com halteres,1zHUEBQTvXTkk1vydlaWRlNiA1AsAqMI2,ROSCA DIRETA COM HALTERES.MOV,ok
ex_196,Rosca alternada com halteres,1bodzOeFKUZymZQkPrlMwVwVPaIyHPt-a,ROSCA ALTERNADA COM HALTERES.MOV,ok
ex_197,Rosca martelo com halteres,1l5YSJ1l6sXhJIsEOTEXD_h6pgId60MJw,ROSCA MARTELO.MOV,ok
ex_198,Rosca com elástico,1kmxCaUkIRqXbk03ZcUdnIt0F82pipBoq,ROSCA COM ELASTICO.MOV,ok
ex_199,Rosca direta com barra,1CiEFBIIZnDQNg_HBSaRtfdIx7dSDck5D,ROSCA DIRETA COM BARRA.MOV,ok
ex_200,ROSCA SCOTT COM BARRA W,1rcDeL3jaDGsEcCCyEjISitg5TP6_hllt,ROSCA SCOTT COM BARRA W.MOV,ok
ex_201,Rosca concentrada,1p33oOdPdCNAosV0cuGQOPOKvgHH9BL8S,ROSCA CONCENTRADA.MOV,ok
ex_202,Rosca inversa,1sP7ch5otSkq2klxul7vGOJ_m_Yjr_-9r,ROSCA INVERTIDA.MOV,ok
ex_203,Chin-up (barra com pegada supinada),1ikriIMynWsbI6HMXmUZEwGS3afq4BdMY,CHIN UP.MOV,ok
ex_204,Body row com pegada fechada,1enZ1N4kuV1WsCNG7PBWalGWr3srz5xA8,BODY ROW COM PEGADA FECHADA.MOV,ok
ex_205,Flexão australiana em mesa baixa,10ZyMaJ872VDU2vUOViQVMJ481aJ8R5L-,FLEXAO AUSTRALIANA.MOV,ok
ex_206,Rosca 21 com halteres,1VOCe3X-6m75wvRbzLaVfftvBaamgqxOn,ROSCA 21 COM HALTERES.MOV,ok
ex_207,Rosca martelo alternada com halteres,1gSQEY8noJCdWgomeMV0dmNP3VyOlFEDE,ROSCA MARTELO ALTERNADA COM HALTERES.MOV,ok
ex_208,Rosca unilateral na polia baixa,15qKdNqV87LUkGGj_ZDPb33wU_l5efW4J,ROSCA UNILATERAL NA POLIA BAIXA.MOV,ok
ex_209,Rosca corda na polia baixa,1AJTvYZOVj0jYIBsW4TGR9AbUF1gzxr3o,ROSCA CORDA NA POLIA'.MOV,ok
ex_210,Rosca martelo na polia com corda,1RqKHZ2z5aMlv1aDUMGn_iVSPekQDnyQD,ROSCA MARTELO NA POLIA COM CORDA.MOV,ok
ex_211,Rosca martelo alternada com isometria,1-xUBInuMaEFOpQQ-7QYA6XePCQfX1hd_,ROSCA MARTELO ALTERNADA COM ISOMETRIA.MOV,ok
ex_212,Rosca Zottman com halteres,1A0QyRp1AdgybkrsUO2iihCyS7qYH7R76,ROSCA ZOTTMAN COM HALTERES.MOV,ok
ex_213,Rosca 21 na barra W,1PzcK_9pXmvodblGzN42KWjwod1o-Lvex,ROSCA 21 NA BARRA W.MOV,ok
ex_214,Rosca spider com halteres,1hwii4G6KYTN8_GU7H0nD9Vs_5LPwL5Bb,ROSCA SPIDER COM HALTERES.MOV,ok
ex_215,Rosca na polia com barra reta (pegada supinada),1hwii4G6KYTN8_GU7H0nD9Vs_5LPwL5Bb,ROSCA SPIDER COM HALTERES.MOV,ok
ex_216,Flexão de braço com pegada fechada,1FaGLUxpPAvmY1zKZ2RxWx5yAz8Sx9J-u,FLEXAO COM PEGADA FECHADA.MOV,ok
ex_217,Tríceps testa com halteres,1F-dExA0Ti4XoQPl7XysY8-3fIANWoqLM,TRICEPS TESTA COM HALTER.MOV,ok
ex_218,Tríceps francês com halteres,1ppN9t28peigdjmVtJEHX1e02XIItAeL1,TRICEPS FRANCES COM HALTER.mov,ok
ex_219,Extensão de tríceps com elástico,1mgTDKQo4igzIzYl-81CHb7r61DfU-cAq,EXTENSAO DE TRICEPS COM ELASTICO.MOV,ok
ex_220,Tríceps corda na polia,1SNESgRtM4phL2VpfjjdV0TeTGF9RUpgB,TRICEPS CORDA NA POLIA.MOV,ok
ex_221,Tríceps testa com barra,1wQy7YvjFdQ548nvinG4e-qctHP48Gzm5,TRICEPS TESTA COM BARRA.MOV,ok
ex_222,Tríceps coice com halteres,1timAFaF7jYhwSpEC7IoO9HiCuoYfrH2G,TRICEPS COICE COM HALTER.MOV,ok
ex_223,Tríceps na barra paralela (Graviton),1NeB6gxqIRurRt63TpLCfsYSjR_jCX2xa,TRICEPS BARRA PARALELA NO GRAVITON.MOV,ok
ex_224,Flexão declinada com pegada estreita,1vuH1CvwpWVZ9AQxEKfvzwLfs85_WHoZs,FLEXAO DECLINADA.MOV,ok
ex_225,Extensão de tríceps apoiado na parede,1EgYy8esW6LLWD6DtobTOchBhKPt1mv4u,EXTENSAO DE TRICEPS APOIADO NA PAREDE.MOV,ok
ex_226,Extensão de tríceps com elástico (acima da cabeça),1q13SR_g8xto0bmydR85jQfxFRckn--9W,EXTENSAO DE TRICEPS ACIMA DA CABECA .MOV,ok
ex_227,Tríceps corda WRISTS,1iQEGXoIWND-dXLvOf4-RlFtWKNJluEzz,TRICEPS CORDA WRISTS.MOV,ok
ex_228,Tríceps testa com barra W,1dbxVDlZOuQlM7p0AqnIfJSw2h8vHn18V,TRICEPS TESTA COM BARRA W.MOV,ok
ex_229,Tríceps francês unilateral com halteres sentado,1U0qKvofUegQN3wEy-4Gy0z0KkUy4qGOh,TRICEPS FRANCES UNILATERAL COM HALTERES.MOV,ok
ex_230,Tríceps banco,1TXtIhtYXYRsnDp7WNeJQm1XcKSIA9dQM,TRICEPS NO BANCO DIPS.MOV,ok
ex_231,Kickback com elástico,1vS-L6-moy0fDuNK4MVicBh3OZfmhECqX,KICK BACK COM ELASTICO.MOV,ok
ex_232,Tríceps coice com elástico unilateral,15f8rdVPKCrop-DEcivI7kaStOQscF_hg,TRICEPS COICE COM ELASTICO.MOV,ok
ex_233,Tríceps testa com halteres alternado,1Sd99lnl7xvr-dpdXT92cL1GVBM7kcL12,TRICEPS TESTA COM HALTERES ALTERNADO.MOV,ok
ex_234,Extensão de tríceps na polia alta com barra reta,1Q0bik8xeZZlbbRTAlirjKCAN36V_CQAA,EXTENSAO DE TRICEPS NA POLIA ALTA BARRA RETA.MOV,ok
ex_235,Superman,18kV8NHcUN7XOVSykFH1pOvxsycs2U_gr,SUPERMAN.MOV,ok
